Date,Region,Species,Sepal_Length,Sepal_Width,Petal_Length,Petal_Width
9/2/2018,JBRO,01JKP169,4138390.52,4568580.1,77.51,4138390.52
9/3/2018,JBRO,01JKP169,4163076.36,4605178,79.59,4163076.36
9/4/2018,JBRO,01JKP169,3690964.98,4045921.58,70.02,3690964.98
9/5/2018,JBRO,01JKP169,3699745.23,4063924.32,69.33,3699745.23
9/6/2018,JBRO,01JKP081,0,0,0,0
9/6/2018,JBRO,01JKP169,4726627.2,5195596.6,76.64,4726627.2
9/7/2018,JBRO,01JKP081,2806358.74,3091197.33,67.24,2806358.74
9/7/2018,JBRO,01JKP169,4285954,4683543.3,75.5,4285954
9/8/2018,JBRO,01JKP081,3285301.07,3617328.46,64.75,3285301.07
9/8/2018,JBRO,01JKP169,3842726.17,4219892.66,73.56,3842726.17
9/9/2018,JBRO,01JKP169,3994271.09,4405774.5,76.42,3994271.09
9/9/2018,JBRO,01JKP081,2870136.8,3171231.2,59.93,2870136.8
9/10/2018,JBRO,01JKP169,4053362.8,4452147.3,77.95,4053362.8
9/10/2018,JBRO,01JKP081,2678767.48,2960307.78,56.84,2678767.48
9/11/2018,JBRO,01JKP169,3781876.78,4163353.71,73.8,3781876.78
9/11/2018,JBRO,01JKP081,3130516.05,3451984.28,63.91,3130516.05
9/12/2018,JBRO,01JKP081,2785441.48,3053180.16,58.54,2785441.48
9/12/2018,JBRO,01JKP169,4271273.93,4711833.4,80.21,4271273.93
9/13/2018,JBRO,01JKP169,3971343.71,4347318.76,75.47,3971343.71
9/13/2018,JBRO,01JKP081,3498587.19,3833354.78,67.74,3498587.19
9/14/2018,JBRO,01JKP081,3671022.37,4023080.71,65.8,3671022.37
9/14/2018,JBRO,01JKP169,4038754.04,4472855.6,78.98,4038754.04
9/15/2018,JBRO,01JKP081,4145821.52,4548218.8,67.59,4145821.52
9/15/2018,JBRO,01JKP169,4011404.03,4445595.8,79.94,4011404.03
9/16/2018,JBRO,01JKP081,3515348.16,3845963.38,60.14,3515348.16
9/16/2018,JBRO,01JKP169,3928898.67,4385315.75,82.89,3928898.67
9/17/2018,JBRO,01JKP081,3246396.28,3543839.8,55.71,3246396.28
9/17/2018,JBRO,01JKP169,3889755.32,4331845.98,82.28,3889755.32
9/18/2018,JBRO,01JKP169,3684584.13,4113094.93,79.35,3684584.13
9/18/2018,JBRO,01JKP081,3907635.9,4276453.9,63.84,3907635.9
9/19/2018,JBRO,01JKP169,3905595.38,4352911.87,83.62,3905595.38
9/19/2018,JBRO,01JKP081,4061390.44,4444889,66.86,4061390.44
9/20/2018,JBRO,01JKP081,3326694.92,3628223.43,60.39,3326694.92
9/20/2018,JBRO,01JKP169,3036575.96,3358416.96,82.73,3036575.96
9/21/2018,JBRO,01JKP169,3467274.88,3853607.24,82.82,3467274.88
9/21/2018,JBRO,01JKP081,3312611.23,3632761.93,66.35,3312611.23
9/22/2018,JBRO,01JKP081,1181527.18,1313813.3,43.22,1181527.18
9/22/2018,JBRO,01JKP169,1587726.91,1748054.44,65.7,1587726.91
9/23/2018,JBRO,01JKP169,0,0,0,0
9/23/2018,JBRO,01JKP081,0,0,0,0
9/24/2018,JBRO,01JKP081,0,0,0,0
9/24/2018,JBRO,01JKP169,0,0,0,0
9/25/2018,JBRO,01JKP081,0,0,0,0
9/25/2018,JBRO,01JKP169,0,0,0,0
9/26/2018,JBRO,01JKP081,0,0,0,0
9/26/2018,JBRO,01JKP169,0,0,0,0
9/27/2018,JBRO,01JKP169,0,0,0,0
9/27/2018,JBRO,01JKP081,0,0,0,0
9/28/2018,JBRO,01JKP081,1284350.54,1403060.22,75.7,1284350.54
9/28/2018,JBRO,01JKP169,1101245.58,1248321.86,91.57,1101245.58
9/29/2018,JBRO,01JKP169,4010053.21,4451150.1,83.64,4010053.21
9/29/2018,JBRO,01JKP081,3885629.18,4270096.38,63.91,3885629.18
9/30/2018,JBRO,01JKP081,3506602.51,3839187.48,0,3506602.51
9/30/2018,JBRO,01JKP169,3978144.78,4424742.2,81.59,3978144.78
10/1/2018,JBRO,01JKP169,4121473.06,4559275,84.03,4121473.06
10/1/2018,JBRO,01JKP081,3047242.86,3318308.93,0,3047242.86
10/2/2018,JBRO,01JKP169,4201364.59,4699839.3,79.98,4201364.59
10/2/2018,JBRO,01JKP081,4119082.57,4515058.7,0,4119082.57
10/3/2018,JBRO,01JKP169,4337523.49,4803787.2,81.53,4337523.49
10/3/2018,JBRO,01JKP081,4272652.81,4687919.6,0,4272652.81
10/4/2018,JBRO,01JKP169,4405573.2,4878772.5,82.66,4405573.2
10/4/2018,JBRO,01JKP081,4300564.59,4678237.6,0,4300564.59
10/5/2018,JBRO,01JKP169,4475812.6,4949402.5,83.4,4475812.6
10/5/2018,JBRO,01JKP081,4295349.76,4702393.1,0,4295349.76
10/6/2018,JBRO,01JKP169,4516238.3,4987946,84.06,4516238.3
10/6/2018,JBRO,01JKP081,4225257.7,4598650.6,0,4225257.7
10/7/2018,JBRO,01JKP169,4486164.6,4956702.6,82.84,4486164.6
10/7/2018,JBRO,01JKP081,3766457.47,4111418.52,0,3766457.47
10/8/2018,JBRO,01JKP169,4604364.3,5136379.8,84.91,4604364.3
10/8/2018,JBRO,01JKP081,3438150.42,3734431.6,52.97,3438150.42
10/9/2018,JBRO,01JKP169,4396323.18,4922747.7,82.21,4396323.18
10/9/2018,JBRO,01JKP081,4159368.07,4540398.6,63,4159368.07
10/10/2018,JBRO,01JKP169,4334857.49,4836878.2,82.11,4334857.49
10/10/2018,JBRO,01JKP081,4310257.37,4698859.4,66.74,4310257.37
10/11/2018,JBRO,01JKP081,4263523.39,4665607.5,66.78,4263523.39
10/11/2018,JBRO,01JKP169,4386061.55,4867426.9,81.37,4386061.55
10/12/2018,JBRO,01JKP081,4053164.62,4439604.2,65.02,4053164.62
10/12/2018,JBRO,01JKP169,4086547.61,4539042.8,76.7,4086547.61
10/13/2018,JBRO,01JKP169,4325779.96,4780640.4,80.19,4325779.96
10/13/2018,JBRO,01JKP081,4149697.31,4567226.4,66.62,4149697.31
10/14/2018,JBRO,01JKP081,3668390.45,4031746.41,60.33,3668390.45
10/14/2018,JBRO,01JKP169,4131228.75,4575009.4,79.18,4131228.75
10/15/2018,JBRO,01JKP169,4228291.23,4727541.1,79.55,4228291.23
10/15/2018,JBRO,01JKP081,3143432.67,3443506.54,52.3,3143432.67
10/16/2018,JBRO,01JKP081,3812293.61,4184083.53,60.18,3812293.61
10/16/2018,JBRO,01JKP169,4105927.66,4547040.2,78.39,4105927.66
10/17/2018,JBRO,01JKP081,3909357.14,4311916.74,61.69,3909357.14
10/17/2018,JBRO,01JKP169,3339594.24,3645173.66,65.72,3339594.24
10/18/2018,JBRO,01JKP169,3140349.33,3438765.15,64.23,3140349.33
10/18/2018,JBRO,01JKP081,3896455.99,4269734.63,59.89,3896455.99
10/19/2018,JBRO,01JKP169,3253262.88,3585979.97,67.11,3253262.88
10/19/2018,JBRO,01JKP081,3992918.43,4386115.81,61.89,3992918.43
10/20/2018,JBRO,01JKP169,3344322.27,3700603.49,71.18,3344322.27
10/20/2018,JBRO,01JKP081,3974518.28,4366855.31,60.69,3974518.28
10/21/2018,JBRO,01JKP081,3447590.75,3769409.73,52.63,3447590.75
10/21/2018,JBRO,01JKP169,3527730.27,3889825.32,72.79,3527730.27
10/22/2018,JBRO,01JKP169,3551489.69,3913858.15,75.25,3551489.69
10/22/2018,JBRO,01JKP081,3041299.01,3336061.32,46.98,3041299.01
10/23/2018,JBRO,01JKP169,3118679.72,3435942.38,69.26,3118679.72
10/23/2018,JBRO,01JKP081,3779688.66,4157528.08,58.55,3779688.66
10/24/2018,JBRO,01JKP169,3249519.2,3591501.25,69.78,3249519.2
10/24/2018,JBRO,01JKP081,3817764.81,4200457.57,58.95,3817764.81
10/25/2018,JBRO,01JKP081,4023479.17,4409789.5,62.37,4023479.17
10/25/2018,JBRO,01JKP169,3493383.11,3834221.69,72.48,3493383.11
10/26/2018,JBRO,01JKP081,4097334.05,4486108,62.92,4097334.05
10/26/2018,JBRO,01JKP169,3367310.2,3700242.25,72.73,3367310.2
10/27/2018,JBRO,01JKP081,4232709.93,4627524.7,63.21,4232709.93
10/27/2018,JBRO,01JKP169,3408353.3,3744177.85,70.8,3408353.3
10/28/2018,JBRO,01JKP169,3594263.46,3939531.49,74.58,3594263.46
10/28/2018,JBRO,01JKP081,3346994.82,3680404.24,51.69,3346994.82
10/29/2018,JBRO,01JKP169,3604835.21,3939691.4,75.12,3604835.21
10/29/2018,JBRO,01JKP081,3094931.83,3378499.03,45.72,3094931.83
10/30/2018,JBRO,01JKP081,3901119,4294127.91,58.22,3901119
10/30/2018,JBRO,01JKP169,3058686.75,3366203.95,68.61,3058686.75
10/31/2018,JBRO,01JKP081,4184514.23,4577447.4,61.47,4184514.23
10/31/2018,JBRO,01JKP169,3317153.66,3629816.74,71.85,3317153.66
11/1/2018,JBRO,01JKP081,4143351.6,4550727,61.03,4143351.6
11/1/2018,JBRO,01JKP169,3356792.98,3674485.29,70.23,3356792.98
11/2/2018,JBRO,01JKP081,4430762.1,4864525.5,58.95,4430762.1
11/2/2018,JBRO,01JKP169,3582084.78,3917996.1,68.5,3582084.78
11/3/2018,JBRO,01JKP169,3344051.21,3664826.6,69.05,3344051.21
11/3/2018,JBRO,01JKP081,4752819.1,5224515.2,56.79,4752819.1
11/4/2018,JBRO,01JKP169,3565642.58,3915157.86,70.73,3565642.58
11/4/2018,JBRO,01JKP081,4061957.46,4437282.7,48.15,4061957.46
11/5/2018,JBRO,01JKP081,3716691.53,4043545.51,46.58,3716691.53
11/5/2018,JBRO,01JKP169,3601273.19,3925908.65,70.09,3601273.19
11/6/2018,JBRO,01JKP081,4375853.66,4806990.6,52.14,4375853.66
11/6/2018,JBRO,01JKP169,3279836.68,3587105.88,65.3,3279836.68
11/7/2018,JBRO,01JKP081,3320143.68,3644232.3,49.65,3320143.68
11/7/2018,JBRO,01JKP169,2417451.6,2644375.76,62.21,2417451.6
11/8/2018,JBRO,01JKP169,2522197.79,2748285.71,74.99,2522197.79
11/8/2018,JBRO,01JKP081,3075761.5,3370756.87,67.74,3075761.5
11/9/2018,JBRO,01JKP081,5221719.7,5682847.3,58.36,5221719.7
11/9/2018,JBRO,01JKP169,3553604.93,3832277.89,66.66,3553604.93
11/10/2018,JBRO,01JKP081,5355004.8,5823986.1,60.61,5355004.8
11/10/2018,JBRO,01JKP169,3667140.54,3976808.63,67.4,3667140.54
11/11/2018,JBRO,01JKP169,3681221.35,3973919.8,66.03,3681221.35
11/11/2018,JBRO,01JKP081,4777678.2,5216199,54.41,4777678.2
11/12/2018,JBRO,01JKP081,4193824.28,4565037.5,50.6,4193824.28
11/12/2018,JBRO,01JKP169,3755413.08,4047230.21,69.04,3755413.08
11/13/2018,JBRO,01JKP169,3275413.52,3570782.96,64.62,3275413.52
11/13/2018,JBRO,01JKP081,4735308.9,5183669.5,56.05,4735308.9
11/14/2018,JBRO,01JKP081,4971477.1,5417040.6,56.95,4971477.1
11/14/2018,JBRO,01JKP169,3274631.02,3549789.42,64.67,3274631.02
11/15/2018,JBRO,01JKP169,3214713.82,3490756.43,65.24,3214713.82
11/15/2018,JBRO,01JKP081,5021833.4,5495646.6,59.85,5021833.4
11/16/2018,JBRO,01JKP081,5028245.9,5509827.5,59.83,5028245.9
11/16/2018,JBRO,01JKP169,3309566.43,3580734.21,65.75,3309566.43
11/17/2018,JBRO,01JKP169,3407280.08,3731316.8,66.23,3407280.08
11/17/2018,JBRO,01JKP081,5019833.7,5477741.1,60.44,5019833.7
11/18/2018,JBRO,01JKP081,4643749.4,5044138.7,55.11,4643749.4
11/18/2018,JBRO,01JKP169,3762194.48,4058863.11,67.75,3762194.48
11/19/2018,JBRO,01JKP081,4002101.59,4362566.11,50.7,4002101.59
11/19/2018,JBRO,01JKP169,3769913.05,4087596.19,68.25,3769913.05
11/20/2018,JBRO,01JKP169,3282136.73,3557450.84,63.14,3282136.73
11/20/2018,JBRO,01JKP081,4870836.3,5337583.2,58.58,4870836.3
11/21/2018,JBRO,01JKP081,4204976.93,4600811.7,51.82,4204976.93
11/21/2018,JBRO,01JKP169,3850930.75,4177537.53,68.04,3850930.75
11/22/2018,JBRO,01JKP169,3685476.47,4003319.51,66.59,3685476.47
11/22/2018,JBRO,01JKP081,5183864.6,5690428.5,58.22,5183864.6
11/23/2018,JBRO,01JKP081,5369152.7,5914462,58.84,5369152.7
11/23/2018,JBRO,01JKP169,3570299.83,3880563.51,64.98,3570299.83
11/24/2018,JBRO,01JKP169,3220489.9,3492105.16,61.66,3220489.9
11/24/2018,JBRO,01JKP081,4998369.4,5484293.1,55,4998369.4
11/25/2018,JBRO,01JKP081,4361061.14,4765521.5,49.52,4361061.14
11/25/2018,JBRO,01JKP169,3374405.91,3667017.6,65.31,3374405.91
11/26/2018,JBRO,01JKP081,4061640,4434568.4,45.75,4061640
11/26/2018,JBRO,01JKP169,3867446.87,4163659.63,66.16,3867446.87
11/27/2018,JBRO,01JKP081,5180189.8,5671181.4,56.29,5180189.8
11/27/2018,JBRO,01JKP169,3198307.27,3481985.88,61.35,3198307.27
11/28/2018,JBRO,01JKP169,3329841.69,3628308.37,64.09,3329841.69
11/28/2018,JBRO,01JKP081,4868636.9,5338685.2,53.48,4868636.9
11/29/2018,JBRO,01JKP169,3381560.87,3692291.16,64.65,3381560.87
11/29/2018,JBRO,01JKP081,4788220.1,5261648.5,53.02,4788220.1
11/30/2018,JBRO,01JKP081,2141039.89,2338192.36,44.52,2141039.89
11/30/2018,JBRO,01JKP169,1155808.23,1248290.8,53.6,1155808.23
12/1/2018,JBRO,01JKP169,2823988.45,3069802.97,63.48,2823988.45
12/1/2018,JBRO,01JKP081,5161262,5683589.7,58.56,5161262
12/2/2018,JBRO,01JKP169,2722827.34,2951095.26,67.14,2722827.34
12/2/2018,JBRO,01JKP081,4053244.31,4451668.1,45.21,4053244.31
12/3/2018,JBRO,01JKP081,4405329.4,4828090.1,47.21,4405329.4
12/3/2018,JBRO,01JKP169,1949210.12,2135535.12,45.93,1949210.12
12/4/2018,JBRO,01JKP169,1927867.53,2115986.39,43.96,1927867.53
12/4/2018,JBRO,01JKP081,4609490.3,5073530.8,52.02,4609490.3
12/5/2018,JBRO,01JKP081,1691609.6,1846895.97,60.61,1691609.6
12/5/2018,JBRO,01JKP169,2156665.77,2393286.12,66.09,2156665.77
12/6/2018,JBRO,01JKP169,3054653.15,3328358.48,75.51,3054653.15
12/6/2018,JBRO,01JKP081,5021776.2,5503086.8,56.9,5021776.2
12/7/2018,JBRO,01JKP169,1817977.95,1978334.84,64,1817977.95
12/7/2018,JBRO,01JKP081,2921160.25,3183901.41,52.24,2921160.25
12/8/2018,JBRO,01JKP081,5077006.3,5555376.6,56.56,5077006.3
12/8/2018,JBRO,01JKP169,3521990.62,3848788.51,69.33,3521990.62
12/9/2018,JBRO,01JKP081,4508731.6,4931943.1,49.08,4508731.6
12/9/2018,JBRO,01JKP169,3838060.53,4193368.93,73.85,3838060.53
12/10/2018,JBRO,01JKP081,4090522.76,4447826.6,46.28,4090522.76
12/10/2018,JBRO,01JKP169,3741933.63,4105086.96,72.26,3741933.63
12/11/2018,JBRO,01JKP169,3503916.58,3817267,69.06,3503916.58
12/11/2018,JBRO,01JKP081,5338718.8,5818795.7,56.57,5338718.8
12/12/2018,JBRO,01JKP081,5481933.8,5989495.5,58.62,5481933.8
12/12/2018,JBRO,01JKP169,3733571.76,4070316.7,72.14,3733571.76
12/13/2018,JBRO,01JKP169,3438607.86,3743767.33,70.9,3438607.86
12/13/2018,JBRO,01JKP081,5662153.1,6198122.8,61.96,5662153.1
12/14/2018,JBRO,01JKP169,3527441.65,3874465.25,69.71,3527441.65
12/14/2018,JBRO,01JKP081,5277358.2,5780186.6,56.66,5277358.2
12/15/2018,JBRO,01JKP081,4992222.6,5476564.6,54.59,4992222.6
12/15/2018,JBRO,01JKP169,3585309.93,3916908.99,71.52,3585309.93
12/16/2018,JBRO,01JKP081,4706813.3,5147599.6,51.26,4706813.3
12/16/2018,JBRO,01JKP169,3612750.12,3938245.41,71.55,3612750.12
12/17/2018,JBRO,01JKP081,4096015.2,4486507,45.87,4096015.2
12/17/2018,JBRO,01JKP169,3805473.67,4142931.38,72.59,3805473.67
12/18/2018,JBRO,01JKP081,5077718.3,5558022.2,56.74,5077718.3
12/18/2018,JBRO,01JKP169,3532283.18,3886392.28,70.23,3532283.18
12/19/2018,JBRO,01JKP081,5572499.9,6056672.5,61.21,5572499.9
12/19/2018,JBRO,01JKP169,3766643.85,4112808.94,72.69,3766643.85
12/20/2018,JBRO,01JKP169,3928163.61,4296376.58,71.59,3928163.61
12/20/2018,JBRO,01JKP081,5820935.8,6347454.2,60.33,5820935.8
12/21/2018,JBRO,01JKP081,5835953,6385498.1,61.84,5835953
12/21/2018,JBRO,01JKP169,3991334.29,4378983.92,73.19,3991334.29
12/22/2018,JBRO,01JKP081,5738337.9,6261401.2,60.47,5738337.9
12/22/2018,JBRO,01JKP169,3950346.76,4336748.86,73.63,3950346.76
12/23/2018,JBRO,01JKP081,5332144.8,5807969.1,54.44,5332144.8
12/23/2018,JBRO,01JKP169,4337196.07,4740363.6,74.68,4337196.07
12/24/2018,JBRO,01JKP081,4315261.44,4720051.1,46.42,4315261.44
12/24/2018,JBRO,01JKP169,4209471.65,4602228.4,73.62,4209471.65
12/25/2018,JBRO,01JKP169,4100162.06,4456672.4,69.84,4100162.06
12/25/2018,JBRO,01JKP081,4729356.2,5179432.2,50.45,4729356.2
12/26/2018,JBRO,01JKP169,4255002.66,4637608.9,71.59,4255002.66
12/26/2018,JBRO,01JKP081,4573831.4,5015815.6,48.69,4573831.4
12/27/2018,JBRO,01JKP081,3092366.23,3372580.6,51.32,3092366.23
12/27/2018,JBRO,01JKP169,4019073.58,4389562.48,72.16,4019073.58
12/28/2018,JBRO,01JKP081,3881656.12,4262191.43,69.98,3881656.12
12/28/2018,JBRO,01JKP169,4126646.73,4507515.2,72.58,4126646.73
12/29/2018,JBRO,01JKP081,6093488.5,6665551.2,56.16,6093488.5
12/29/2018,JBRO,01JKP169,2987339.55,3233174.78,67.42,2987339.55
12/30/2018,JBRO,01JKP169,2733538.8,2984301.04,80.32,2733538.8
12/30/2018,JBRO,01JKP081,5271763,5752856.5,49.27,5271763
12/31/2018,JBRO,01JKP169,4520816.4,4932582.8,72.35,4520816.4
12/31/2018,JBRO,01JKP081,4386495.92,4755405.4,42,4386495.92
1/1/2019,JBRO,01JKP169,4458781.1,4891175.6,72.44,4458781.1
1/1/2019,JBRO,01JKP081,5313275.6,5852628,49.45,5313275.6
